op_name                                    inp_size   kernel_size   in channels  out channels  params(MBytes)   mults(M)    adds(M)     MFLOPS
SNB14_hardswish1__plusscalar0                    14            -1           160           160           0.000      0.000      0.031      0.031
SNB14_hardswish1__clip                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB14_hardswish1__divscalar0                     14            -1           160           160           0.000      0.031      0.000      0.031
SNB14_hardswish1__mul0                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB14_se0_pool0_fwd                              14            -1           160             1           0.000      0.000      0.031      0.031
SNB14_se0_conv_squeeze_fwd                        1             1           160            40           0.013      0.006      0.006      0.013
SNB14_se0_relu0_fwd                               1            -1            40            40           0.000      0.000      0.000      0.000
SNB14_se0_conv_excitation_fwd                     1             1            40           160           0.013      0.006      0.006      0.013
SNB14_se0_hardsigmoid0__plusscalar0               1            -1           160           160           0.000      0.000      0.000      0.000
SNB14_se0_hardsigmoid0__clip                      1            -1           160           160           0.000      0.000      0.000      0.000
SNB14_se0_hardsigmoid0__divscalar0                1            -1           160           160           0.000      0.000      0.000      0.000
SNB15_conv0_fwd                                  14             1           160           160           0.051      5.018      4.986     10.004
SNB15_hardswish0__plusscalar0                    14            -1           160           160           0.000      0.000      0.031      0.031
SNB15_hardswish0__clip                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB15_hardswish0__divscalar0                     14            -1           160           160           0.000      0.031      0.000      0.031
SNB15_hardswish0__mul0                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB15_conv1_fwd                                  14             3           160             1           0.003      0.282      0.251      0.533
SNB15_conv2_fwd                                  14             1           160           160           0.051      5.018      4.986     10.004
SNB15_hardswish1__plusscalar0                    14            -1           160           160           0.000      0.000      0.031      0.031
SNB15_hardswish1__clip                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB15_hardswish1__divscalar0                     14            -1           160           160           0.000      0.031      0.000      0.031
SNB15_hardswish1__mul0                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB15_se0_pool0_fwd                              14            -1           160             1           0.000      0.000      0.031      0.031
SNB15_se0_conv_squeeze_fwd                        1             1           160            40           0.013      0.006      0.006      0.013
SNB15_se0_relu0_fwd                               1            -1            40            40           0.000      0.000      0.000      0.000
SNB15_se0_conv_excitation_fwd                     1             1            40           160           0.013      0.006      0.006      0.013
SNB15_se0_hardsigmoid0__plusscalar0               1            -1           160           160           0.000      0.000      0.000      0.000
SNB15_se0_hardsigmoid0__clip                      1            -1           160           160           0.000      0.000      0.000      0.000
SNB15_se0_hardsigmoid0__divscalar0                1            -1           160           160           0.000      0.000      0.000      0.000
SNB16_conv3_fwd                                  14             7           320             1           0.031      0.768      0.753      1.521
SNB16_conv4_fwd                                   7             1           320           320           0.205      5.018      5.002     10.020
SNB16_hardswish2__plusscalar0                     7            -1           320           320           0.000      0.000      0.016      0.016
SNB16_hardswish2__clip                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB16_hardswish2__divscalar0                      7            -1           320           320           0.000      0.016      0.000      0.016
SNB16_hardswish2__mul0                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB16_conv0_fwd                                  14             1           320           320           0.205     20.070     20.008     40.078
SNB16_hardswish0__plusscalar0                    14            -1           320           320           0.000      0.000      0.063      0.063
SNB16_hardswish0__clip                           14            -1           320           320           0.000      0.063      0.000      0.063
SNB16_hardswish0__divscalar0                     14            -1           320           320           0.000      0.063      0.000      0.063
